ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,HEALTH_RATING,DISEASE_RATING,DISFREW_RATING,DISSEV_RATING,Overall_Health_Rating
118,0,29,3,1,7.2,8.3,7.6,6.7,7.45
118,0,29,3,2,7,7.8,7.4,7.4,7.4
44,0,26,1,1,6.5,1.6,2,7.3,4.35
44,0,26,1,2,7.6,2.3,2,7.4,4.825
50,0,33,1,1,5.1,6.4,6.8,6.4,6.175
50,0,33,1,2,5.7,3.3,4.9,5,4.725
115,1,21,1,1,7.4,3.8,4.7,6.2,5.525
115,1,21,1,2,3.8,4.8,4.3,5.4,4.575
113,0,28,1,1,8,3,2.6,7.5,5.275
113,0,28,1,2,7.5,4.4,2.7,7.4,5.5
121,1,34,1,1,6.8,5.9,7.1,4.1,5.975
121,1,34,1,2,3.7,3.5,5.4,5,4.4
75,0,28,1,1,4.8,2.8,6.2,5.9,4.925
75,0,28,1,2,4.3,3.1,5.5,6.1,4.75
108,1,59,1,1,8.4,7.2,7.1,6.6,7.325
108,1,59,1,2,7.1,4.7,5.7,3.9,5.35
10,1,52,1,1,9,4.7,4.1,5.8,5.9
10,1,52,1,2,9,5.1,5.3,5.9,6.325
88,1,31,1,1,5.4,7.5,5,4.5,5.6
88,1,31,1,2,5.1,7.1,5.3,6.8,6.075
127,1,55,1,1,6.4,4.3,4.9,4.7,5.075
127,1,55,1,2,5,3.2,2.3,3.4,3.475
13,0,26,1,1,7.6,2.5,3.1,7.4,5.15
13,0,26,1,2,6.3,3,3.6,7.8,5.175
97,0,27,1,1,7.7,3.1,2.7,6.9,5.1
97,0,27,1,2,7.8,2.5,3.2,6.8,5.075
96,0,49,1,1,5.4,7.6,5,5.5,5.875
96,0,49,1,2,3.7,7.1,4.3,4,4.775
40,0,21,1,1,4.4,7,7.2,3.8,5.6
40,0,21,1,2,4.9,6.8,6.1,5.8,5.9
30,1,21,1,1,7.1,4.7,6.8,3.9,5.625
30,1,21,1,2,6.4,4.4,7.1,4.4,5.575
91,1,29,1,1,7.7,6.4,6.1,6.5,6.675
91,1,29,1,2,4.8,3.7,4.3,6.1,4.725
14,0,27,1,1,6.5,3.9,6.7,5.2,5.575
14,0,27,1,2,6,5.1,6.8,5.1,5.75
18,1,42,1,1,5.6,6.3,6.4,4.3,5.65
18,1,42,1,2,6.8,5.1,5.1,3.6,5.15
92,1,55,1,1,6.4,6.6,5.7,4.6,5.825
92,1,55,1,2,3.5,5,5.1,5.2,4.7
67,0,23,1,1,4.7,5.6,4,6.9,5.3
67,0,23,1,2,5.2,4.6,3.9,6.3,5
65,1,34,1,1,4.2,4.8,4.8,4.9,4.675
65,1,34,1,2,6.3,5.6,4,5.3,5.3
66,0,35,1,1,4.8,5.9,6.3,5.4,5.6
66,0,35,1,2,4.7,6.1,4.7,3.3,4.7
56,1,27,1,1,5.7,7.1,6,4.4,5.8
56,1,27,1,2,6.1,6.4,7.5,4.1,6.025
85,1,45,1,1,6.8,6.2,6.3,6.5,6.45
85,1,45,1,2,4.3,5.6,4.2,4.4,4.625
38,1,48,1,1,5.2,4.4,4.8,5.6,5
38,1,48,1,2,4,2.3,4,4,3.575
104,0,25,1,1,4.4,5.4,6.1,4.1,5
104,0,25,1,2,5.1,4.3,4.5,2.9,4.2
110,1,46,1,1,6.9,5.2,4.8,4.6,5.375
110,1,46,1,2,6.9,3.6,4.5,4.1,4.775
8,0,33,1,1,4.1,3.4,3.7,4.9,4.025
8,0,33,1,2,6,5.4,5.3,5.9,5.65
24,1,27,1,1,5.9,4.7,6.3,4.7,5.4
24,1,27,1,2,6,5.6,5,5.8,5.6
26,0,28,1,1,4,3.5,4.1,4.1,3.925
26,0,28,1,2,3.9,3.8,4.4,3.9,4
87,1,44,1,1,5.9,5.9,6.3,5.1,5.8
87,1,44,1,2,5.7,7.2,7.4,6.2,6.625
70,0,23,1,1,5.8,3.8,6.4,5,5.25
70,0,23,1,2,5.2,3.9,6.3,5.1,5.125
63,0,30,1,1,6.3,4.8,4.9,4.3,5.075
63,0,30,1,2,6.2,5.1,6.5,4.3,5.525
43,0,33,3,1,4.6,4.8,5.5,4.2,4.775
43,0,33,3,2,4.3,6,6.6,4.4,5.325
86,1,35,1,1,5.5,4.9,6.3,5.8,5.625
86,1,35,1,2,4.5,5.9,5.6,6.2,5.55
31,0,36,1,1,5.1,4.2,4.7,4.7,4.675
31,0,36,1,2,6.4,5.9,6.4,5.1,5.95
69,1,57,1,1,5.6,5,6,5.6,5.55
69,1,57,1,2,3.9,4.8,3.7,5.2,4.4
20,0,26,1,1,4.2,5,4.6,5.3,4.775
20,0,26,1,2,6.3,4.8,5.1,5.8,5.5
107,1,28,1,1,5.7,5.4,6.2,5.2,5.625
107,1,28,1,2,4.1,3.9,5.1,6.1,4.8
98,1,40,1,1,6.3,6.3,4.9,4.5,5.5
98,1,40,1,2,6.7,6.8,5.4,5.2,6.025
29,0,46,1,1,7.7,5.2,6.4,6.2,6.375
29,0,46,1,2,7.2,5,5.9,5.9,6
55,0,21,1,1,4.9,4.8,4.2,4.7,4.65
55,0,21,1,2,5.8,3.5,4.3,4.5,4.525
99,1,35,1,1,6.7,7.6,6.8,6,6.775
99,1,35,1,2,5.3,5.9,5.4,3.9,5.125
83,1,26,1,1,6.3,3.6,3.6,7.2,5.175
83,1,26,1,2,5.8,3.7,3.2,6.3,4.75
72,0,27,1,1,5.9,5,5.8,5.9,5.65
72,0,27,1,2,6.4,4.2,4,4.9,4.875
64,1,28,1,1,5.1,5.7,5.4,6.1,5.575
64,1,28,1,2,3.8,3.5,3.5,4.3,3.775
39,1,32,1,1,5.4,4.4,6,4.7,5.125
39,1,32,1,2,6.5,5.7,6.2,5.6,6
5,1,30,1,1,7.6,5.6,5.8,4.7,5.925
5,1,30,1,2,6.5,5.3,5.1,5,5.475
57,0,26,1,1,5.6,7.1,5.9,6.2,6.2
57,0,26,1,2,5.8,5.9,5.9,5.5,5.775
114,1,41,1,1,5.2,5.7,4.6,4.1,4.9
114,1,41,1,2,5.2,5.8,5.1,3.7,4.95
23,0,29,1,1,4.4,5.3,5.8,4.6,5.025
23,0,29,1,2,4,5.3,6.4,4.2,4.975
74,0,34,1,1,7,5,6,4.9,5.725
74,0,34,1,2,6.8,5,6.9,5.5,6.05
52,1,41,4,1,6.3,7.1,5.8,6.1,6.325
52,1,41,4,2,5.3,6.1,6.1,4.8,5.575
129,1,39,1,1,5.1,5.5,4.8,4.6,5
129,1,39,1,2,5,5.5,4.3,6.2,5.25
15,1,25,3,1,6.9,5.5,5.3,5.5,5.8
15,1,25,3,2,4.5,5,4.6,4.1,4.55
